latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
45.47836942222223,9.229213861111113,191.1763,0.00000,249,2024,9.563
45.478364575,9.229212613888889,190.807,0.00833,249,2024,9.547
45.47837032222223,9.229215880555556,190.6907,0.01667,249,2024,9.587
45.478372769444455,9.229217216666667,190.9069,0.02500,249,2024,9.591
45.47837364722223,9.22922005,190.7782,0.03333,249,2024,9.599
45.47837381666667,9.229220900000003,190.7996,0.04167,249,2024,9.563
45.47837394444445,9.229220861111111,190.8084,0.05000,249,2024,9.621
45.47837371666667,9.229221080555556,190.8404,0.05833,249,2024,9.651
45.47837395277779,9.229221022222223,190.922,0.06667,249,2024,9.669
45.47837397222222,9.229221652777778,190.9952,0.07500,249,2024,9.619
45.47837403333334,9.229221697222222,191.0639,0.08333,249,2024,9.577
45.47837396944445,9.229221419444444,191.078,0.09167,249,2024,9.573
45.47837411666668,9.229221716666666,191.0881,0.10000,249,2024,9.557
45.478374111111115,9.229221683333334,191.0654,0.10833,249,2024,9.579
45.478374147222226,9.229221830555556,191.0644,0.11667,249,2024,9.581
45.47837412777778,9.229221902777779,191.0447,0.12500,249,2024,9.599
45.478374147222226,9.229221936111111,191.0475,0.13333,249,2024,9.568
45.47837421111111,9.229222283333334,191.0426,0.14167,249,2024,9.516
45.47837421388889,9.229222347222223,191.055,0.15000,249,2024,9.524
45.4783741888889,9.229222127777778,191.0551,0.15833,249,2024,9.520
45.47837422222223,9.229221969444444,191.0533,0.16667,249,2024,9.483
45.47837425833333,9.229222055555555,191.0441,0.17500,249,2024,9.503
45.478374269444444,9.229222163888888,191.0597,0.18333,249,2024,9.500
45.478374244444446,9.229222286111112,191.0736,0.19167,249,2024,9.449
45.47837423333334,9.2292222,191.0704,0.20000,249,2024,9.370
45.478374244444446,9.229222086111111,191.0816,0.20833,249,2024,9.348
45.47837423333334,9.229222102777777,191.0889,0.21667,249,2024,9.382
45.478374261111114,9.229221983333332,191.0864,0.22500,249,2024,9.472
45.478374272222226,9.229221999999998,191.0891,0.23333,249,2024,9.436
45.478374286111105,9.229222011111114,191.0856,0.24167,249,2024,9.393
45.47837431944446,9.229222141666668,191.0868,0.25000,249,2024,9.374
45.47837433888889,9.229222130555556,191.0893,0.25833,249,2024,9.379
45.478374361111115,9.229222091666669,191.0891,0.26667,249,2024,9.412
45.478374375,9.229222091666669,191.0976,0.27500,249,2024,9.422
45.478374405555556,9.229222133333336,191.1036,0.28333,249,2024,9.407
45.478374433333336,9.229222058333333,191.1054,0.29167,249,2024,9.484
45.47837443611111,9.22922203333333,191.1052,0.30000,249,2024,9.427
45.478374430555554,9.229221986111112,191.1072,0.30833,249,2024,9.346
45.47837443611111,9.229221997222222,191.109,0.31667,249,2024,9.356
45.478374441666666,9.229222022222222,191.1114,0.32500,249,2024,9.372
45.47837444722222,9.229222025000002,191.1142,0.33333,249,2024,9.414
45.47837445000001,9.229222011111114,191.1155,0.34167,249,2024,9.377
45.47837445000001,9.229222016666665,191.1137,0.35000,249,2024,9.362
45.47837445555557,9.229221961111111,191.1169,0.35833,249,2024,9.333
45.47837445555557,9.229221966666666,191.1172,0.36667,249,2024,9.384
45.47837446388889,9.229221961111111,191.1179,0.37500,249,2024,9.424
45.47837447777777,9.229221969444444,191.1189,0.38333,249,2024,9.437
45.478374494444445,9.22922195,191.1185,0.39167,249,2024,9.430
