latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
45.47837661944445,9.229213994444445,190.8283,0.00000,246,2024,9.518
45.478376547222226,9.229217069444445,190.8947,0.00833,246,2024,9.493
45.47837531666668,9.229216291666667,191.11,0.01667,246,2024,9.488
45.47837627500001,9.229216361111112,191.1131,0.02500,246,2024,9.476
45.4783754138889,9.229218072222224,190.795,0.03333,246,2024,9.498
45.478375130555555,9.229217952777777,190.8032,0.04167,246,2024,9.650
45.47837509166667,9.229217833333333,190.7453,0.05000,246,2024,9.588
45.47837478888889,9.229217750000002,190.8146,0.05833,246,2024,9.592
45.47837476666667,9.229218472222222,190.8537,0.06667,246,2024,9.566
45.47837495000001,9.229218461111113,190.8629,0.07500,246,2024,9.546
45.47837504722223,9.229219338888889,190.8731,0.08333,246,2024,9.587
45.47837489444446,9.229219286111109,190.8802,0.09167,246,2024,9.566
45.47837493888889,9.22921900277778,190.9188,0.10000,246,2024,9.530
45.47837496944444,9.229219402777781,190.9303,0.10833,246,2024,9.605
45.47837495833333,9.229219852777778,190.9448,0.11667,246,2024,9.621
45.47837491944445,9.22922053611111,190.9556,0.12500,246,2024,9.562
45.47837491666668,9.2292204,190.9386,0.13333,246,2024,9.608
45.47837492222223,9.229220644444446,190.9492,0.14167,246,2024,9.641
45.47837483055556,9.22922053611111,190.9436,0.15000,246,2024,9.690
45.47837475277779,9.229220616666666,190.9636,0.15833,246,2024,9.680
45.47837473333333,9.229220622222222,190.977,0.16667,246,2024,9.634
45.47837478611112,9.229220575,191.0,0.17500,246,2024,9.600
45.47837476111111,9.229220716666665,191.0109,0.18333,246,2024,9.603
45.47837472222223,9.229220561111115,190.9978,0.19167,246,2024,9.639
45.47837471944445,9.229220677777779,191.0133,0.20000,246,2024,9.714
45.47837466944445,9.229220625,191.0262,0.20833,246,2024,9.668
45.47837459166667,9.229220575,191.025,0.21667,246,2024,9.681
45.478374547222224,9.229220500000002,191.0245,0.22500,246,2024,9.756
45.47837450833333,9.22922033888889,191.0258,0.23333,246,2024,9.749
45.47837447222222,9.22922023888889,191.0244,0.24167,246,2024,9.702
45.47837445555557,9.229220394444445,191.0318,0.25000,246,2024,9.664
45.47837445277779,9.229220402777775,191.03,0.25833,246,2024,9.678
45.478374433333336,9.229220483333336,191.0397,0.26667,246,2024,9.782
45.47837440833334,9.229220638888888,191.0545,0.27500,246,2024,9.768
45.47837439722222,9.229220758333334,191.0604,0.28333,246,2024,9.704
45.47837437777778,9.22922083611111,191.0646,0.29167,246,2024,9.693
45.47837435833334,9.229220930555556,191.0714,0.30000,246,2024,9.805
45.47837434166667,9.229221041666667,191.0757,0.30833,246,2024,9.795
45.47837436666667,9.229221019444445,191.0735,0.31667,246,2024,9.780
45.47837439166668,9.22922091388889,191.061,0.32500,246,2024,9.775
45.478374405555556,9.22922092777778,191.0595,0.33333,246,2024,9.747
45.478374422222224,9.229220902777778,191.0506,0.34167,246,2024,9.706
45.47837441111111,9.229220925,191.0492,0.35000,246,2024,9.746
