latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
45.478363191666666,9.229215174999998,191.9513,0.00000,252,2024,6.363
45.47837096388889,9.22921868611111,192.143,0.00833,252,2024,6.409
45.47837273888889,9.229221358333334,191.288,0.01667,252,2024,6.368
45.478373375000004,9.229221719444446,191.3879,0.02500,252,2024,6.361
45.478373322222225,9.229221097222222,191.408,0.03333,252,2024,6.338
45.4783729638889,9.229220583333333,191.1936,0.04167,252,2024,6.371
45.478372925,9.229219977777777,191.1004,0.05000,252,2024,6.385
45.47837301388889,9.229220825,191.0926,0.05833,252,2024,6.355
45.47837316666667,9.229220805555554,191.1599,0.06667,252,2024,6.365
45.47837368888891,9.229221055555556,191.1653,0.07500,252,2024,6.395
45.47837392222223,9.229221141666667,191.1116,0.08333,252,2024,6.442
45.47837413888889,9.229221013888889,191.0997,0.09167,252,2024,6.462
45.478374288888894,9.229221622222223,191.0938,0.10000,252,2024,6.503
45.47837434166667,9.229221058333334,191.1162,0.10833,252,2024,6.551
45.478374311111104,9.229220466666666,191.1238,0.11667,252,2024,6.516
45.478374283333345,9.22922005555556,191.1447,0.12500,252,2024,6.553
45.47837441944446,9.229220222222224,191.1452,0.13333,252,2024,6.616
45.4783745,9.229219925000002,191.1729,0.14167,252,2024,6.609
45.47837450833333,9.229219675,191.171,0.15000,252,2024,6.606
45.47837454166667,9.229219466666667,191.1834,0.15833,252,2024,6.643
45.47837452777778,9.229219355555555,191.1809,0.16667,252,2024,6.644
45.47837452500001,9.229219341666669,191.1644,0.17500,252,2024,6.629
45.47837457777778,9.229219394444444,191.1626,0.18333,252,2024,6.691
45.47837462222223,9.229219422222222,191.1577,0.19167,252,2024,6.679
45.47837465833334,9.229219230555557,191.1467,0.20000,252,2024,6.636
45.47837468611112,9.22921913611111,191.1408,0.20833,252,2024,6.691
45.4783746888889,9.22921906388889,191.1247,0.21667,252,2024,6.712
45.478374699999996,9.229218908333333,191.1156,0.22500,252,2024,6.803
